User-Defined Residential Building,
Inputs + Space Description,
,Co (ppm),HCeil (m),tmetric (h),Q (L/s person),Qalt (L/s person),Bfl (m²),
,420,2.4,2.0,5.1,10.0,84,

Scenario,Method,NOccH,Nbr,
Whole House,ACH,3,2,

Occupants,
,Nocc,Sex,Mass (kg),Age Group,Activity Level (met),
,1,M,68.0,30 to 59,1,
,1,F,63.5,30 to 59,1,
,1,M,18.1,3 to 9,1,

,tss (h),Css (ppm),Cm (ppm),C1h (ppm),
Primary Results,11.1,983,655,553,
Alternate Results,17.1,1285,676,559,

Plot Data,
,Time (h),C (ppm),Calt (ppm),
,14.98,973,1223,
,15.00,973,1223,
,15.02,973,1223,
,15.03,973,1223,
,15.05,973,1223,
,15.07,973,1224,
,15.08,973,1224,
,15.10,973,1224,
,15.12,973,1224,
,15.13,973,1224,
,15.15,973,1225,
,15.17,973,1225,
,15.18,973,1225,
,15.20,973,1225,
,15.22,973,1225,
,15.23,973,1225,
,15.25,973,1226,
,15.27,973,1226,
,15.28,974,1226,
,15.30,974,1226,
,15.32,974,1226,
,15.33,974,1226,
,15.35,974,1227,
,15.37,974,1227,
,15.38,974,1227,
,15.40,974,1227,
,15.42,974,1227,
,15.43,974,1228,
,15.45,974,1228,
,15.47,974,1228,
,15.48,974,1228,
,15.50,974,1228,
,15.52,974,1228,
,15.53,974,1229,
,15.55,974,1229,
,15.57,974,1229,
,15.58,974,1229,
,15.60,974,1229,
,15.62,974,1229,
,15.63,974,1229,
,15.65,974,1230,
,15.67,974,1230,
,15.68,974,1230,
,15.70,974,1230,
,15.72,975,1230,
,15.73,975,1230,
,15.75,975,1231,
,15.77,975,1231,
,15.78,975,1231,
,15.80,975,1231,
,15.82,975,1231,
,15.83,975,1231,
,15.85,975,1232,
,15.87,975,1232,
,15.88,975,1232,
,15.90,975,1232,
,15.92,975,1232,
,15.93,975,1232,
,15.95,975,1232,
,15.97,975,1233,
,15.98,975,1233,
,16.00,975,1233,
,16.02,975,1233,
,16.03,975,1233,
,16.05,975,1233,
,16.07,975,1234,
,16.08,975,1234,
,16.10,975,1234,
,16.12,975,1234,
,16.13,975,1234,
,16.15,975,1234,
,16.17,975,1234,
,16.18,975,1235,
,16.20,975,1235,
,16.22,976,1235,
,16.23,976,1235,
,16.25,976,1235,
,16.27,976,1235,
,16.28,976,1235,
,16.30,976,1236,
,16.32,976,1236,
,16.33,976,1236,
,16.35,976,1236,
,16.37,976,1236,
,16.38,976,1236,
,16.40,976,1236,
,16.42,976,1237,
,16.43,976,1237,
,16.45,976,1237,
,16.47,976,1237,
,16.48,976,1237,
,16.50,976,1237,
,16.52,976,1237,
,16.53,976,1238,
,16.55,976,1238,
,16.57,976,1238,
,16.58,976,1238,
,16.60,976,1238,
,16.62,976,1238,
,16.63,976,1238,
,16.65,976,1239,
,16.67,976,1239,
,16.68,976,1239,
,16.70,976,1239,
,16.72,976,1239,
,16.73,976,1239,
,16.75,976,1239,
,16.77,977,1240,
,16.78,977,1240,
,16.80,977,1240,
,16.82,977,1240,
,16.83,977,1240,
,16.85,977,1240,
,16.87,977,1240,
,16.88,977,1240,
,16.90,977,1241,
,16.92,977,1241,
,16.93,977,1241,
,16.95,977,1241,
,16.97,977,1241,
,16.98,977,1241,
,17.00,977,1241,
,17.02,977,1241,
,17.03,977,1242,
,17.05,977,1242,
,17.07,977,1242,
,17.08,977,1242,
,17.10,977,1242,
,17.12,977,1242,
,17.13,977,1242,
,17.15,977,1242,
,17.17,977,1243,
,17.18,977,1243,
,17.20,977,1243,
,17.22,977,1243,
,17.23,977,1243,
,17.25,977,1243,
,17.27,977,1243,
,17.28,977,1243,
,17.30,977,1244,
,17.32,977,1244,
,17.33,977,1244,
,17.35,977,1244,
,17.37,977,1244,
,17.38,977,1244,
,17.40,977,1244,
,17.42,977,1244,
,17.43,978,1245,
,17.45,978,1245,
,17.47,978,1245,
,17.48,978,1245,
,17.50,978,1245,
,17.52,978,1245,
,17.53,978,1245,
,17.55,978,1245,
,17.57,978,1245,
,17.58,978,1246,
,17.60,978,1246,
,17.62,978,1246,
,17.63,978,1246,
,17.65,978,1246,
,17.67,978,1246,
,17.68,978,1246,
,17.70,978,1246,
,17.72,978,1247,
,17.73,978,1247,
,17.75,978,1247,
,17.77,978,1247,
,17.78,978,1247,
,17.80,978,1247,
,17.82,978,1247,
,17.83,978,1247,
,17.85,978,1247,
,17.87,978,1248,
,17.88,978,1248,
,17.90,978,1248,
,17.92,978,1248,
,17.93,978,1248,
,17.95,978,1248,
,17.97,978,1248,
,17.98,978,1248,
,18.00,978,1248,
,18.02,978,1248,
,18.03,978,1249,
,18.05,978,1249,
,18.07,978,1249,
,18.08,978,1249,
,18.10,978,1249,
,18.12,978,1249,
,18.13,978,1249,
,18.15,978,1249,
,18.17,978,1249,
,18.18,978,1250,
,18.20,978,1250,
,18.22,978,1250,
,18.23,978,1250,
,18.25,979,1250,
,18.27,979,1250,
,18.28,979,1250,
,18.30,979,1250,
,18.32,979,1250,
,18.33,979,1250,
,18.35,979,1251,
,18.37,979,1251,
,18.38,979,1251,
,18.40,979,1251,
,18.42,979,1251,
,18.43,979,1251,
,18.45,979,1251,
,18.47,979,1251,
,18.48,979,1251,
,18.50,979,1251,
,18.52,979,1252,
,18.53,979,1252,
,18.55,979,1252,
,18.57,979,1252,
,18.58,979,1252,
,18.60,979,1252,
,18.62,979,1252,
,18.63,979,1252,
,18.65,979,1252,
,18.67,979,1252,
,18.68,979,1253,
,18.70,979,1253,
,18.72,979,1253,
,18.73,979,1253,
,18.75,979,1253,
,18.77,979,1253,
,18.78,979,1253,
,18.80,979,1253,
,18.82,979,1253,
,18.83,979,1253,
,18.85,979,1253,
,18.87,979,1254,
,18.88,979,1254,
,18.90,979,1254,
,18.92,979,1254,
,18.93,979,1254,
,18.95,979,1254,
,18.97,979,1254,
,18.98,979,1254,
,19.00,979,1254,
,19.02,979,1254,
,19.03,979,1254,
,19.05,979,1255,
,19.07,979,1255,
,19.08,979,1255,
