start_time,Distance (in),Experiment,end_time,competing airflow,Fan,shroud,spacing (in),push filters,pull filters,filepath
2023-07-25 14:05:25.870691,14,SmartAir QT3,2023-07-25 14:06:08.074331,,QT3,False,,QT3,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-25_09:10:29.743125.csv
2023-07-25 14:07:11.598005,12,SmartAir QT3,2023-07-25 14:07:52.517271,,QT3,False,,QT3,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-25_09:10:29.743125.csv
2023-07-25 14:08:33.743550,10,SmartAir QT3,2023-07-25 14:09:01.710799,,QT3,False,,QT3,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-25_09:10:29.743125.csv
2023-07-25 14:10:07.151684,8,SmartAir QT3,2023-07-25 14:10:41.966350,,QT3,False,,QT3,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-25_09:10:29.743125.csv
2023-07-25 14:11:46.766953,6,SmartAir QT3,2023-07-25 14:12:46.339218,,QT3,False,,QT3,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-25_09:10:29.743125.csv
2023-07-25 14:13:32.805115,4,SmartAir QT3,2023-07-25 14:13:54.398464,,QT3,False,,QT3,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-25_09:10:29.743125.csv
2023-07-25 14:13:32.805115,4,SmartAir QT3,2023-07-25 14:13:54.398464,,QT3,False,,QT3,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-25_09:10:29.743125.csv
2023-07-25 14:15:29.210011,2,SmartAir QT3,2023-07-25 14:15:55.784361,,QT3,False,,QT3,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-25_09:10:29.743125.csv
2023-07-25 14:18:20.425653,2,"AirGo M, full speed, round 2",2023-07-25 14:18:51.489052,,QT3,False,,QT3,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-25_09:10:29.743125.csv
2023-07-25 14:20:06.463538,4,"AirGo M, full speed, round 2",2023-07-25 14:20:40.813887,,QT3,False,,QT3,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-25_09:10:29.743125.csv
